q,mean_cost,std
0.02,179.6,88.81
0.04,200.86,102.97
0.06,221.61,100.03
0.08,239.48,119.77
0.1,245.34,121.02
0.12,272.01,125.58
0.14,273.93,132.88
0.16,292.75,135.16
0.18,294.74,140.99
0.2,299.69,112.82
0.22,289.78,130.76
0.24,309.61,136.66
0.26,309.29,145.44
0.28,312.34,136.65
0.3,305.66,149.8
0.32,313.43,142.25
0.34,312.22,129.06
0.36,278.92,132.88
0.38,312.67,143.0
0.4,316.95,135.45
0.42,317.39,139.76
0.44,333.42,170.03
0.46,317.3,141.31
0.48,319.7,147.85
0.5,335.58,147.69
0.52,335.36,147.71
0.54,297.96,139.83
0.56,300.48,125.18
0.58,337.71,169.32
0.6,324.68,147.31
0.62,342.15,171.27
0.64,307.23,140.31
0.66,328.3,143.17
0.68,329.18,148.67
0.7,293.78,147.49
0.72,321.44,128.27
0.74,291.31,156.01
0.76,298.05,120.47
0.78,293.39,113.64
0.8,293.05,134.88
0.82,297.56,133.01
0.84,288.17,125.54
0.86,269.75,121.39
0.88,250.22,117.69
0.9,254.75,98.69
0.92,232.48,105.83
0.94,249.83,127.61
0.96,212.9,93.26
0.98,179.76,86.92
